observation_date,SPPOPGROWUSA
1961-01-01,1.657730037389530
1962-01-01,1.537997358253870
1963-01-01,1.439164761706830
1964-01-01,1.389046055183690
1965-01-01,1.250171645628450
1966-01-01,1.154893190755200
1967-01-01,1.088881207287620
1968-01-01,0.998461043585335
1969-01-01,0.977242811872469
1970-01-01,1.165002666872860
1971-01-01,1.264333691850940
1972-01-01,1.070522752372690
1973-01-01,0.954476728552297
1974-01-01,0.913660196067714
1975-01-01,0.985986067347125
1976-01-01,0.950220048994522
1977-01-01,1.005771996181340
1978-01-01,1.059573080342700
1979-01-01,1.103576565098990
1980-01-01,0.959589922764484
1981-01-01,0.981415437259678
1982-01-01,0.953317566163514
1983-01-01,0.914378513375149
1984-01-01,0.865817336309961
1985-01-01,0.886129040850881
1986-01-01,0.924164157058979
1987-01-01,0.893829201032046
1988-01-01,0.907999040167679
1989-01-01,0.944405555428529
1990-01-01,1.129650520455790
1991-01-01,1.336260740737790
1992-01-01,1.386885692479350
1993-01-01,1.318679999777410
1994-01-01,1.226296088868200
1995-01-01,1.190787090902090
1996-01-01,1.163411619981890
1997-01-01,1.203960297012720
1998-01-01,1.165714526425890
1999-01-01,1.148340047290550
2000-01-01,1.112768996795340
2001-01-01,0.989741382223669
2002-01-01,0.927797485710314
2003-01-01,0.859481712840946
2004-01-01,0.925483968943482
2005-01-01,0.921713167161207
2006-01-01,0.964253917136075
2007-01-01,0.951055242772428
2008-01-01,0.945865287282592
2009-01-01,0.876651298802912
2010-01-01,0.829616674709795
2011-01-01,0.726786704810745
2012-01-01,0.733599941250847
2013-01-01,0.692860276624581
2014-01-01,0.733361519937424
2015-01-01,0.736217308825420
2016-01-01,0.724676067451429
2017-01-01,0.632643995082560
2018-01-01,0.526435395564053
2019-01-01,0.455381285963537
2020-01-01,0.968999515833015
2021-01-01,0.157342694282194
2022-01-01,0.367472693654024
2023-01-01,0.491924871690548
